CUIs,clinvar_trait
C1853153,joubert syndrome 6
C1853230,congenital primary aphakia
C1853995,"seizures, benign familial infantile, 2"
C1854106,"myopathy, proximal, and ophthalmoplegia"
C1854154,charcot-marie-tooth disease type 2b1
C1854260,leber congenital amaurosis 6
Cumapped26,autosomal dominant nocturnal frontal lobe epilepsy 3
C1854336,paragangliomas 3
C1854408,glabellar hemangioma
C1854449,charcot-marie-tooth disease type 4g
C1854465,tuberous sclerosis 1
C1855102,"methylmalonic aciduria, cblb type"
C1855109,"methylmalonic aciduria, cbla type"
C1855114,methylmalonic aciduria due to methylmalonyl-coa mutase deficiency
C1855115,"methylmalonic aciduria, mut(0) type"
C1855174,"metaphyseal dysplasia, anetoderma, and optic atrophy"
C1855305,frank-ter haar syndrome
C1855371,maple syrup urine disease type 2
C1855432,mandibulofacial dysostosis with mental deficiency
C1855433,treacher collins syndrome 3
Cumapped245,renal hypomagnesemia 5 with ocular involvement
C1855553,pyruvate dehydrogenase e3-binding protein deficiency
C1855565,pyruvate dehydrogenase e2 deficiency
C1855588,"kuru, susceptibility to"
C1855722,baraitser-winter syndrome 1
Cumapped345,"visceral neuropathy, familial, 1, autosomal recessive"
C1855843,severe intrauterine growth retardation
C1855926,hypermetabolism due to defect in mitochondrial coupling
C1856127,congenital bile acid synthesis defect 2
C1856245,"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 2"
C1856255,"granulomatous disease, chronic, autosomal recessive, cytochrome b-negative"
C1856273,"46,xy sex reversal 7"
C1856439,glaucoma 3a
C1856447,"bernard-soulier syndrome, type b"
C1856895,"skin/hair/eye pigmentation, variation in, 1"
C1857034,"ehlers-danlos syndrome, arthrochalasis type"
C1857355,"congenital lactic acidosis, saguenay-lac-saint-jean type"
C1857512,temtamy syndrome
C1857527,flattened epiphysis
C1857710,progeroid facial appearance
C1857719,diamond-blackfan anemia 3
C1857747,neurodegeneration with brain iron accumulation 2b
C1857777,arrhythmogenic right ventricular dysplasia 10
C1857779,senior-loken syndrome 6
C1857780,joubert syndrome 5
C1857821,leber congenital amaurosis 10
C1857829,"heart-hand syndrome, slovenian type"
C1857853,cataract 22 multiple types
C1857953,deep plantar creases
C1858054,bardet-biedl syndrome 6
C1858338,"hereditary motor and sensory neuropathy, okinawa type"
C1858386,leber congenital amaurosis 4
C1858424,"cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1"
C1858493,"febrile seizures, familial, 4"
C1858562,"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3"
C1858672,"generalized epilepsy with febrile seizures plus, type 1"
C1858673,"generalized epilepsy with febrile seizures plus, type 2"
C1858679,cataract 9 multiple types
C1858763,dilated cardiomyopathy 1g
C1858806,cone-rod dystrophy 3
C1859200,inability to walk by childhood/adolescence
C1859301,hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism
C1859309,cenani-lenz syndactyly syndrome
C1859330,"cardiac valvular defect, developmental"
C1859499,3-methylcrotonyl-coa carboxylase 2 deficiency
C1859564,bardet-biedl syndrome 3
C1859565,bardet-biedl syndrome 7
C1859569,bardet-biedl syndrome 11
C1859570,bardet-biedl syndrome 12
C1859728,"coronary sclerosis, medial, of infancy"
C1859807,"amyotrophic lateral sclerosis type 2, juvenile"
C1859877,alopecia universalis congenita
C1859966,"neutropenia, severe congenital, 1, autosomal dominant"
C1859972,"adrenocortical carcinoma, hereditary"
C1860081,medium chain dicarboxylic aciduria
C1860191,absent vertebral body mineralization
C1860752,hypertrophic cardiomyopathy 7
C1861106,"hypothyroidism, congenital, nongoitrous, 7"
C1861147,autosomal dominant hypocalcemia 2
Cumapped203,platelet-type bleeding disorder 8
Cumapped105,"inherited bleeding disorder, platelet-type"
C1861194,platelet-type bleeding disorder 17
C1861195,platelet-type bleeding disorder 16
C1861366,syndactyly type 3
C1861828,cataract 1 multiple types
C1861832,aculeiform cataract
C1861848,paragangliomas 4
C1861862,hypertrophic cardiomyopathy 4
C1861863,hypertrophic cardiomyopathy 3
C1861864,hypertrophic cardiomyopathy 2
Cumapped37,"cafe au lait spots, multiple"
C1862112,brachydactyly type b1
C1862151,brachydactyly type a1
Cumapped34,brachydactyly type a1a
C1862191,blood group--waldner type
C1863051,alzheimer disease 2
C1863224,pyruvate kinase hyperactivity
C1863534,stargardt disease 4
C1863551,"hypercholesterolemia, autosomal dominant, 3"
C1863727,familial hemophagocytic lymphohistiocytosis 2
C1863728,familial hemophagocytic lymphohistiocytosis 4
C1863732,spondyloepimetaphyseal dysplasia with multiple dislocations
C1863769,dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema
C1864041,cerebral cavernous malformation 2
C1864112,huntington disease-like 1
C1864148,"meckel syndrome, type 2"
C1864399,"peroxisome biogenesis disorder, complementation group 7"
C1864446,retinitis pigmentosa 25
C1864497,psoriasis 2
C1864623,"diabetes mellitus, transient neonatal, 3"
C1864720,isolated microphthalmia 2
C1864721,"microphthalmia, isolated, with coloboma 3"
C1864827,holoprosencephaly 5
C1864846,"pigmented nodular adrenocortical disease, primary, 1"
C1864850,arrhythmogenic right ventricular dysplasia 11
Cumapped181,normophosphatemic familial tumoral calcinosis
C1864869,congenital stationary night blindness autosomal dominant 1
Cumapped53,congenital brain dysgenesis due to glutamine synthetase deficiency
C1864948,"hyperinsulinemic hypoglycemia, familial, 4"
C1864975,osteomyelitis leading to amputation due to slow healing fractures
C1864987,"migraine, familial hemiplegic, 3"
C1864996,"visceral neuropathy, familial, 3, autosomal dominant"
Cumapped271,short qt syndrome type 3
Cumapped269,short qt syndrome type 1
C1865143,branchiootic syndrome 1
C1865270,bartter disease type 4a
C1865322,"migraine, familial hemiplegic, 2"
C1865572,proximal placement of thumb
C1865596,desmosterolosis
C1865614,hemochromatosis type 2a
C1865639,osteocraniostenosis
C1865644,pierpont syndrome
C1865832,"spondyloepimetaphyseal dysplasia, missouri type"
C1865864,amyotrophic lateral sclerosis type 5
C1866012,proximal muscle weakness in upper limbs
C1866053,"deafness, congenital heart defects, and posterior embryotoxon"
C1866075,glomerulopathy with fibronectin deposits 2
C1866077,"malignant hyperthermia, susceptibility to, 5"
C1866078,cataract 14 multiple types
C1866079,bone mineral density quantitative trait locus 1
C1866173,"bilirubin, serum level of, quantitative trait locus 1"
C1866176,exudative vitreoretinopathy 4
C1866182,acroosteolysis-keloid-like lesions-premature aging syndrome
C1866293,cone-rod dystrophy 6
C1866422,retinitis pigmentosa 19
C1866558,"neural tube defects, folate-sensitive"
C1867450,"pseudoxanthoma elasticum, forme fruste"
C1868633,paragangliomas with sensorineural hearing loss
C1869118,"hypothyroidism, congenital, nongoitrous, 2"
C1869122,ehlers-danlos syndrome progeroid type
C1876161,neuronal ceroid lipofuscinosis 2
C1876182,congenital stationary night blindness autosomal dominant 2
C1960459,hereditary angioedema type 3
C1968565,numerous pigmented freckles
C1969052,"meckel syndrome, type 5"
C1969053,joubert syndrome 7
C1969056,leopard syndrome 2
C1969084,pontocerebellar hypoplasia type 6
C1969106,autosomal recessive osteopetrosis 4
C1969783,"persistent hyperplastic primary vitreous, autosomal recessive"
Cumapped290,spastic ataxia 2
C1969810,"febrile seizures, familial, 8"
C1969833,"copd, severe early onset"
C1970028,"malaria, susceptibility to"
C1970160,"epilepsy, childhood absence 4"
C1970163,retinitis pigmentosa 37
C1970200,"intellectual disability, autosomal recessive 12"
C1970236,isolated microphthalmia 5
C1970291,"tooth agenesis, selective, 3"
Cumapped223,progressive familial heart block type ib
C1970416,xfe progeroid syndrome
C1970456,interstitial lung disease due to abca3 deficiency
C1970470,"surfactant metabolism dysfunction, pulmonary, 2"
C1970497,crumpled long bones
Cumapped324,"tooth agenesis, selective, x-linked, 1"
C1970841,"intellectual disability, x-linked 93"
C2079540,charcot-marie-tooth disease axonal type 2c
C2240338,"meckel syndrome, type 6"
C2608087,"neuronopathy, distal hereditary motor, type 2b"
C2673186,"aortic aneurysm, familial thoracic 6"
C2673187,"erythrocytosis, familial, 4"
C2673351,paucity of anterior horn motor neurons
C2673427,methemoglobinemia type 4
C2673873,bardet-biedl syndrome 13
C2673874,bardet-biedl syndrome 14
C2674321,"thrombophilia due to protein c deficiency, autosomal dominant"
C2674574,loeys-dietz syndrome 2
C2674603,"amelogenesis imperfecta, type 1j"
C2675186,leber congenital amaurosis 13
C2675187,"microcephaly 7, primary, autosomal recessive"
C2675210,cone-rod dystrophy 12
C2675481,"colorectal cancer, susceptibility to, 10"
C2675520,"breast-ovarian cancer, familial, susceptibility to, 2"
C2675650,brain small vessel disease 1 with or without ocular anomalies
C2675711,dyschromatosis universalis hereditaria 1
C2675859,diamond-blackfan anemia 5
C2676271,"cardiomyopathy, familial restrictive, 3"
C2676285,"bone fragility with contractures, arterial rupture, and deafness"
C2676466,pontocerebellar hypoplasia type 2b
C2676676,"breast-ovarian cancer, familial, susceptibility to, 1"
C2676759,"thrombophilia due to protein c deficiency, autosomal recessive"
C2676766,autosomal recessive osteopetrosis 7
C2676770,birk-barel syndrome
C2676771,joubert syndrome 8
C2676786,hypophosphatemic nephrolithiasis/osteoporosis 1
C2676788,joubert syndrome 9
C2677086,"skin/hair/eye pigmentation, variation in, 11"
C2677087,"epilepsy, childhood absence, susceptibility to, 5"
C2677109,hypomyelinating leukodystrophy 4
C2677326,"developmental and epileptic encephalopathy, 4"
C2677338,dilated cardiomyopathy 1aa
C2677481,ectodermal dysplasia and immunodeficiency 2
C2677506,hypertrophic cardiomyopathy 11
C2677516,retinitis pigmentosa 41
C2677535,ane syndrome
C2677549,"hypouricemia, renal, 2"
C2677650,decreased activity of mitochondrial complex i
C2677877,"surfactant metabolism dysfunction, pulmonary, 4"
C2678098,"hypospadias 1, x-linked"
C2678262,methylmalonic aciduria and homocystinuria type cbld
C2678338,hereditary spherocytosis type 3
C2678468,amyotrophic lateral sclerosis type 9
C2678473,primary ciliary dyskinesia 7
C2678475,dilated cardiomyopathy 1z
C2678476,dilated cardiomyopathy 1y
C2678478,brugada syndrome 3
C2678485,long qt syndrome 9
C2678486,temple-baraitser syndrome
C2678503,axenfeld-rieger syndrome type 3
C2700405,waardenburg syndrome type 2e
C2711693,amyloidogenic transthyretin amyloidosis
C2711754,history of neurodevelopmental disorder
C2720289,"anemia, nonspherocytic hemolytic, due to g6pd deficiency"
C2748515,"spondyloepimetaphyseal dysplasia, papss2 type"
C2748541,brugada syndrome 5
C2748552,atrial septal defect 5
C2748801,"fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement"
Cumapped2,"46,xy sex reversal 11"
C2748896,"46,xy sex reversal 1"
Cumapped322,"thrombophilia, x-linked, due to factor 9 defect"
C2749019,joubert syndrome 10
C2749288,congenital secretory sodium diarrhea 8
C2749346,peroxisome biogenesis disorder 9b
C2749477,"oculodentodigital dysplasia, autosomal recessive"
C2749604,"hemolytic uremic syndrome, atypical, susceptibility to, 1"
C2749659,aicardi-goutieres syndrome 5
C2749982,"thyrotoxic periodic paralysis, susceptibility to, 1"
C2750074,rhabdoid tumor predisposition syndrome 2
C2750076,miyoshi muscular dystrophy 3
C2750079,exudative vitreoretinopathy 5
C2750080,diamond-blackfan anemia 10
C2750090,charcot-marie-tooth disease axonal type 2n
C2750091,dilated cardiomyopathy 1ff
C2750450,"corneal dystrophy, fuchs endothelial, 4"
C2750452,waardenburg syndrome type 4c
C2750457,waardenburg syndrome type 4b
C2750459,hypertrophic cardiomyopathy 15
C2750472,hypertrophic cardiomyopathy 13
C2750475,focal segmental glomerulosclerosis 5
C2750514,"factor xiii, a subunit, deficiency of"
C2750720,cone-rod dystrophy 13
C2750732,noonan syndrome 6
C2750789,retinitis pigmentosa 50
C2750824,"hyperthyroxinemia, dystransthyretinemic"
C2750850,glioma susceptibility 1
C2750893,"epilepsy, idiopathic generalized, susceptibility to, 11"
C2750995,dilated cardiomyopathy 1dd
C2751083,brugada syndrome 8
C2751195,"epilepsy, benign neonatal, 1, and/or myokymia"
C2751293,familial hemophagocytic lymphohistiocytosis 5
C2751308,cone dystrophy 4
C2751319,"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant 5"
Cumapped151,neurodegeneration with brain iron accumulation
C2751603,"epilepsy, idiopathic generalized, susceptibility to, 10"
C2751608,"pituitary hormone deficiency, combined, 1"
C2751641,glioma susceptibility 3
C2751642,glioma susceptibility 2
C2751643,glycogen storage disease ixc
C2751681,"neuroblastoma, susceptibility to, 3"
C2751778,"generalized epilepsy with febrile seizures plus, type 7"
C2751825,premature ovarian failure 7
C2751826,multiple synostoses syndrome 3
C2751842,autosomal recessive parkinson disease 14
Cumapped343,"ventricular fibrillation, paroxysmal familial, type 1"
C2751986,retinitis pigmentosa 42
C2752062,"epilepsy, idiopathic generalized, susceptibility to, 8"
C2752072,dilated cardiomyopathy 1bb
C2752073,erythrocyte amp deaminase deficiency
C2752149,"46,xy sex reversal 4"
C2919341,edema of the dorsum of feet
C2930980,"malignant hyperthermia, susceptibility to, 1"
C2930989,maple syrup urine disease type 1a
C2930990,maple syrup urine disease type 1b
C2931029,familial multiple nevi flammei
C2931107,congenital myasthenic syndrome 2a
C2931123,keratosis palmoplantaris striata 3
C2931207,usher syndrome type 1c
C2931208,usher syndrome type 1d
C2931213,usher syndrome type 2c
C2931244,"craniometaphyseal dysplasia, autosomal recessive"
C2931257,alzheimer disease type 1
C2931296,pancreatic hypoplasia-diabetes-congenital heart disease syndrome
C2931402,cystic fibrosis-gastritis-megaloblastic anemia syndrome
C2931461,cardiospondylocarpofacial syndrome
Cumapped277,sialuria
C2931599,oculocutaneous albinism type 3
C2931786,amyotrophic lateral sclerosis type 6
C2931832,"hyperinsulinemic hypoglycemia, familial, 1"
C2931833,"hyperinsulinemic hypoglycemia, familial, 2"
C2931842,diaphyseal dysplasia
C2931919,"developmental and epileptic encephalopathy, 45"
C2932716,pseudohypoparathyroidism type 1c
C2936862,bardet-biedl syndrome 1
C2936863,bardet-biedl syndrome 2
Cumapped247,resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta
C2937288,"thyroid hormone resistance, generalized, autosomal dominant"
C2956495,congenital fibrosis of extraocular muscles type 1
C2960129,vanishing white matter disease
C2960310,alveolar capillary dysplasia with pulmonary venous misalignment
C2973527,dentinogenesis imperfecta type 2
C3148823,autosomal recessive hypotrichosis with woolly hair
C3149074,"seizures, benign familial neonatal, 1"
C3149117,"glut1 deficiency syndrome 1, autosomal recessive"
C3149705,autosomal dominant parkinson disease 1
C3149750,mitochondrial dna depletion syndrome 13
C3150099,antley-bixler syndrome with genital anomalies and disordered steroidogenesis
C3150344,"hyperhomocysteinemia, thrombotic, cbs-related"
C3150354,"immunodeficiency, common variable, 2"
C3150412,"muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type b3"
C3150415,"muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type b1"
Cumapped138,"muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type b2"
C3150546,"pancreatic cancer, susceptibility to, 2"
Cumapped306,"susceptibility to mononeuropathy of the median nerve, mild"
C3150617,maturity-onset diabetes of the young type 10
C3150644,brachydactyly type e2
C3150652,fanconi renotubular syndrome 2
C3150659,"breast-ovarian cancer, familial, susceptibility to, 3"
C3150667,"microcephaly, seizures, and developmental delay"
C3150681,dilated cardiomyopathy 1r
C3150731,"developmental and epileptic encephalopathy, 5"
C3150755,sodium serum level quantitative trait locus 1
C3150757,isolated microphthalmia 6
C3150802,"myopathy, lactic acidosis, and sideroblastic anemia 2"
C3150808,retinitis pigmentosa 55
C3150874,cranioectodermal dysplasia 2
C3150876,cog5-congenital disorder of glycosylation
C3150898,dilated cardiomyopathy 1gg
C3150908,"migraine, with or without aura, susceptibility to, 13"
C3150909,d-2-hydroxyglutaric aciduria 2
C3150913,alg11-congenital disorder of glycosylation
C3150939,thoc6-related developmental delay-microcephaly-facial dysmorphism syndrome
C3150970,noonan syndrome 7
C3150971,leopard syndrome 3
C3150986,"developmental and epileptic encephalopathy, 7"
C3150988,"developmental and epileptic encephalopathy, 12"
C3151001,retinitis pigmentosa 4
C3151038,"acne inversa, familial, 3"
C3151057,"heterotaxy, visceral, 4, autosomal"
C3151058,hypermethioninemia with deficiency of s-adenosylhomocysteine hydrolase
C3151064,"46,xy sex reversal 6"
C3151066,retinitis pigmentosa 45
C3151086,retinitis pigmentosa 20
C3151088,immunodeficiency 31b
C3151097,meier-gorlin syndrome 2
C3151107,retinitis pigmentosa 40
Cumapped124,meier-gorlin syndrome 3
C3151138,retinitis pigmentosa 39
C3151139,retinitis pigmentosa 43
C3151187,seckel syndrome 5
C3151192,leber congenital amaurosis 7
C3151202,leber congenital amaurosis 8
C3151204,hypertrophic cardiomyopathy 16
C3151206,leber congenital amaurosis 15
C3151218,osteogenesis imperfecta type 11
Cumapped250,retinitis pigmentosa 59
C3151228,retinitis pigmentosa 38
C3151237,"hirschsprung disease, cardiac defects, and autonomic dysfunction"
C3151293,dilated cardiomyopathy 1hh
C3151303,"obesity, hyperphagia, and developmental delay"
C3151355,megalencephalic leukoencephalopathy with subcortical cysts 2a
C3151356,"megalencephalic leukoencephalopathy with subcortical cysts 2b, remitting, with or without intellectual disability"
C3151409,"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 3"
C3151421,"cyanosis, transient neonatal"
C3151431,"atrial fibrillation, familial, 9"
C3151443,"dyskeratosis congenita, autosomal dominant 2"
C3151445,"dyskeratosis congenita, autosomal dominant 3"
C3151463,catecholaminergic polymorphic ventricular tachycardia 3
C3151464,"atrial fibrillation, familial, 10"
C3151471,"amyloid cardiomyopathy, transthyretin-related"
C3151569,focal segmental glomerulosclerosis 1
C3151617,anterior segment dysgenesis 7
C3152055,d-2-hydroxyglutaric aciduria 1
C3160720,dilated cardiomyopathy 1u
Cumapped220,primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies
C3179455,"niemann-pick disease, type c1"
Cumapped149,nephrolithiasis/nephrocalcinosis
Cumapped148,nephrocalcinosis
C3275406,syndromic x-linked intellectual disability raymond type
C3275438,"autism, susceptibility to, 5"
C3275495,kabuki syndrome 2
C3275505,atrial septal defect 7
C3275750,atrioventricular septal defect 3
C3275959,"leukemia, acute myeloid, susceptibility to"
C3275998,thrombocythemia 2
C3276036,high anterior hairline
C3276161,"arterial calcification, generalized, of infancy, 2"
C3276228,acrodysostosis 1 with or without hormone resistance
C3276339,langereis blood group
C3276355,"intellectual disability, autosomal dominant 46"
Cumapped309,syndromic intellectual disability
Cumapped241,rare syndromic intellectual disability
Cumapped365,x-linked syndromic intellectual disability
C3276432,multiple mitochondrial dysfunctions syndrome 1
C3277076,"bernard-soulier syndrome, type a2, autosomal dominant"
C3277671,thrombocythemia 1
C3278138,fibrochondrogenesis 1
C3278147,geleophysic dysplasia 1
C3278148,"bernard-soulier syndrome, type a1"
C3278156,glutaric acidemia iic
C3278211,"thrombophilia due to protein s deficiency, autosomal dominant"
C3278401,hypopigmentation of hair
C3278618,auditory neuropathy-optic atrophy syndrome
Cumapped190,optic atrophy 3
C3278636,neonatal insulin-dependent diabetes mellitus
C3278959,hypertrophic cardiomyopathy
C3279089,restrictive ventilatory defect
C3279222,aplasia/hypoplasia of the cerebellum
C3279397,very long chain fatty acid accumulation
C3279470,hypotrichosis 8
C3279564,osteogenesis imperfecta type 6
C3279690,moyamoya disease 5
C3279699,mitochondrial complex v (atp synthase) deficiency nuclear type 2
C3279748,immunodeficiency-centromeric instability-facial anomalies syndrome 2
C3279775,multiple congenital anomalies-hypotonia-seizures syndrome 1
C3279792,short-rib thoracic dysplasia 7 with or without polydactyly
C3279800,keppen-lubinsky syndrome
C3279841,pyruvate dehydrogenase e1-beta deficiency
C3279905,focal segmental glomerulosclerosis 6
C3279992,paragangliomas 5
C3280011,brittle cornea syndrome 2
C3280041,retinitis pigmentosa 61
C3280042,retinitis pigmentosa 62
C3280054,geleophysic dysplasia 2
C3280062,leber congenital amaurosis 16
C3280073,craniosynostosis and dental anomalies
C3280112,congenital myasthenic syndrome 16
Cumapped237,rafiq syndrome
C3280133,parkinson disease 17
Cumapped93,hyperphosphatasia with intellectual disability syndrome 3
C3280155,"meckel syndrome, type 9"
C3280160,"encephalopathy, acute, infection-induced, susceptibility to, 4"
C3280168,"neuropathy, hereditary sensory, type 2c"
C3280214,warburg micro syndrome 2
Cumapped95,"hyperuricemic nephropathy, familial juvenile type 4"
C3280240,"microcephaly, epilepsy, and diabetes syndrome 1"
C3280265,"intellectual disability, autosomal recessive 18"
C3280402,sclerosteosis 2
C3280415,cognitive impairment with or without cerebellar ataxia
C3280417,"autosomal recessive ataxia, beauce type"
C3280442,"pancreatic cancer, susceptibility to, 4"
C3280452,autosomal recessive spinocerebellar ataxia 12
Cumapped55,congenital malabsorptive diarrhea 4
C3280598,asphyxiating thoracic dystrophy 5
C3280616,cranioectodermal dysplasia 4
C3280660,"encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1"
C3280734,"febrile seizures, familial, 11"
C3280766,joubert syndrome 14
C3280781,atrioventricular septal defect 4
C3280790,atrial septal defect 8
C3280800,"hypertrophic osteoarthropathy, primary, autosomal recessive, 2"
C3280845,charcot-marie-tooth disease dominant intermediate e
C3280906,joubert syndrome 16
Cumapped291,spastic ataxia 5
C3281027,"microphthalmia, isolated, with coloboma 7"
C3281092,"thrombophilia due to protein s deficiency, autosomal recessive"
C3281125,thrombocythemia 3
C3281191,"developmental and epileptic encephalopathy, 13"
C3281192,infantile cerebellar-retinal degeneration
C3281201,coffin-siris syndrome 1
C3281235,baraitser-winter syndrome 2
C3463897,"hydatidiform mole, recurrent, 1"
C3463917,corticosterone methyloxidase type 2 deficiency
C3472624,"b lymphoblastic leukemia lymphoma, no icd-o subtype"
C3489529,"tooth agenesis, selective, 1"
C3489724,aicardi-goutieres syndrome 2
C3489793,"46,xy sex reversal 3"
C3489795,hyper-ige recurrent infection syndrome 1
Cumapped65,"early infantile epileptic encephalopathy, autosomal recessive"
C3495537,"heterotaxy, visceral, 5, autosomal"
C3501372,"mitochondrial dna depletion syndrome, encephalomyopathic form with methylmalonic aciduria"
Cumapped221,primary microcephaly type 2
C3501832,epilepsy with generalized tonic-clonic seizures
C3501891,"mitochondrial dna depletion syndrome, myopathic form"
C3532239,"cardiomyopathy, mitochondrial"
C3539013,aicardi-goutieres syndrome 6
C3539123,neuronal ceroid lipofuscinosis 11
C3539195,"tremor, hereditary essential, 4"
C3539888,autosomal recessive congenital ichthyosis 3
C3539920,"ectodermal dysplasia 11b, hypohidrotic/hair/tooth type, autosomal recessive"
C3540616,retinoblastoma
C3540630,small cell lung carcinoma
C3540688,breast neoplasm
Cumapped274,short stature-optic atrophy-pelger-huc+t anomaly syndrome
C3541471,mitochondrial complex iii deficiency nuclear type 1
C3541474,"ectopia lentis 2, isolated, autosomal recessive"
C3541517,"ectodermal dysplasia 11a, hypohidrotic/hair/tooth type, autosomal dominant"
C3541518,"ectopia lentis 1, isolated, autosomal dominant"
C3542022,short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome
C3542024,aortic valve disease 2
C3542922,"immunodeficiency, common variable, 7"
C3543826,primary ciliary dyskinesia 19
C3549447,alternating hemiplegia of childhood 1
Cumapped201,peripheral nerve hyperexcitability syndrome
C3550019,"cholestasis, intrahepatic, of pregnancy, 3"
C3550273,peroxisome biogenesis disorder 2a (zellweger)
C3550478,hypogonadotropic hypogonadism 3 with or without anosmia
C3550533,cone-rod dystrophy 22
Cumapped354,x-linked cone-rod dystrophy 1
C3550693,peroxisome biogenesis disorder type 3b
C3550789,"thrombocytopenia, x-linked, with or without dyserythropoietic anemia"
C3550904,"developmental and epileptic encephalopathy, 36"
C3551954,"coenzyme q10 deficiency, primary, 1"
C3552236,complex cortical dysplasia with other brain malformations 7
C3552335,congenital myasthenic syndrome 12
C3552341,anterior segment dysgenesis
Cumapped143,"myopathy, sarcoplasmic body"
C3552553,hypogonadotropic hypogonadism 5 with or without anosmia
C3553250,acrodysostosis 2 with or without hormone resistance
C3553264,joubert syndrome 17
C3553288,hyperekplexia 3
C3553298,uv-sensitive syndrome 2
C3553404,auriculocondylar syndrome 2
C3553449,pontocerebellar hypoplasia type 1b
C3553450,profound global developmental delay
C3553538,brown-vialetto-van laere syndrome 2
C3553587,glucocorticoid deficiency 4
C3553597,"3-methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome"
C3553599,mitochondrial oxidative phosphorylation disorder
C3553606,"basal cell carcinoma, susceptibility to, 7"
C3553607,mitochondrial pyruvate carrier deficiency
C3553617,"pulmonary fibrosis and/or bone marrow failure, telomere-related, 1"
Cumapped92,hyperphosphatasia with intellectual disability syndrome 2
C3553645,congenital myasthenic syndrome 13
C3553660,malan overgrowth syndrome
C3553758,joubert syndrome 18
C3553762,loeys-dietz syndrome 4
C3553788,alternating hemiplegia of childhood 2
C3553844,hypogonadotropic hypogonadism 11 with or without anosmia
C3553859,"epilepsy, idiopathic generalized, susceptibility to, 12"
C3553929,peroxisome biogenesis disorder 3a (zellweger)
C3553936,peroxisome biogenesis disorder 4a (zellweger)
C3553937,peroxisome biogenesis disorder 4b
C3553947,peroxisome biogenesis disorder 6a (zellweger)
C3553948,peroxisome biogenesis disorder 6b
C3553951,peroxisome biogenesis disorder 7b
C3553958,metaphyseal chondromatosis with d-2-hydroxyglutaric aciduria
C3553999,peroxisome biogenesis disorder 10a (zellweger)
C3554002,peroxisome biogenesis disorder 12a (zellweger)
C3554018,sinoatrial node dysfunction and deafness
C3554047,catecholaminergic polymorphic ventricular tachycardia 4
C3554055,peroxisome biogenesis disorder 14b
C3554105,perrault syndrome 2
C3554195,"developmental and epileptic encephalopathy, 14"
C3554209,pontocerebellar hypoplasia type 1a
C3554226,pontocerebellar hypoplasia type 7
C3554235,joubert syndrome 20
C3554279,"congenital heart defects, multiple types, 2"
C3554321,"basal ganglia calcification, idiopathic, 4"
C3554343,schuurs-hoeijmakers syndrome
C3554355,autosomal recessive congenital ichthyosis 10
C3554373,"autism, susceptibility to, 18"
C3554415,distal arthrogryposis type 5d
C3554446,brachydactyly type a1c
C3554460,"colorectal cancer, susceptibility to, 12"
C3554518,cowden syndrome 5
C3554519,cowden syndrome 6
C3554524,isolated microphthalmia 8
C3554534,"cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2"
C3554592,"microphthalmia, isolated, with coloboma 9"
C3554608,mitochondrial complex iii deficiency nuclear type 5
C3554649,dilated cardiomyopathy 1ii
C3554654,charcot-marie-tooth disease dominant intermediate f
C3554656,"dyskeratosis congenita, autosomal recessive 5"
C3554663,platelet-type bleeding disorder 15
C3554689,"agammaglobulinemia 7, autosomal recessive"
C3694531,glycogen storage disease ixa1
C3697119,pulmonary arterial hypertension associated with congenital heart disease
C3711125,mitochondrial dna depletion syndrome 8a
Cumapped228,proximal symphalangism 1a
C3714927,"multiple system atrophy 1, susceptibility to"
C3714932,autosomal recessive limb-girdle muscular dystrophy type 2t
C3714941,otofaciocervical syndrome 1
C3714948,pachyonychia congenita 3
C3714949,pachyonychia congenita 4
C3714958,"pulmonary hypertension, neonatal, susceptibility to"
C3715049,neuronal ceroid lipofuscinosis 13
C3715155,amyotrophic lateral sclerosis type 19
C3715165,left ventricular noncompaction 10
C3715192,mandibular hypoplasia-deafness-progeroid syndrome
C3715199,renal-hepatic-pancreatic dysplasia 1
C3805373,cataract 13 with adult i phenotype
C3805412,cataract 41
C3806381,combined immunodeficiency due to stim1 deficiency
C3806565,"xeroderma pigmentosum, type f/cockayne syndrome"
C3806604,infantile axial hypotonia
C3806670,paroxysmal nocturnal hemoglobinuria 1
C3806688,slc35a2-congenital disorder of glycosylation
C3806917,craniosynostosis 4
C3807521,amyotrophic lateral sclerosis type 21
